Año,Producto,Produccion_Real,Produccion_Predicha,Area_Cosechada,Rendimiento,Error_Absoluto,Error_Porcentual
1966,Alcachofas,125800.0,124031.77805961279,14134.0,8900.5,1768.221940387215,1.4055818286066892
1967,Alcachofas,129200.0,127773.74766650547,14561.0,8873.0,1426.252333494529,1.1039104748409667
1968,Alcachofas,114700.0,123831.21608532046,13610.0,8427.6,9131.216085320455,7.960955610567093
1969,Alcachofas,101100.0,111665.4268741483,13208.0,7654.5,10565.426874148296,10.450471685606622
1970,Alcachofas,220400.0,125990.17667195055,22375.0,9850.3,94409.82332804945,42.835673016356374
1971,Alcachofas,222200.0,221968.98019547583,24000.0,9258.3,231.01980452417047,0.1039693089667734
1972,Alcachofas,253500.0,242876.8374472165,21800.0,11628.4,10623.162552783499,4.1905966677646935
1973,Alcachofas,298300.0,288853.992946147,26100.0,11429.1,9446.007053853013,3.166613159186394
1974,Alcachofas,302600.0,281516.56327788415,26800.0,11291.0,21083.436722115846,6.967427865867762
1975,Alcachofas,226400.0,253103.39113821933,19300.0,11730.6,26703.391138219333,11.794784071651648
1976,Alcachofas,227000.0,237771.74532583807,21500.0,10558.1,10771.74532583807,4.745262258078445
1977,Alcachofas,250700.0,247037.60377895494,24500.0,10232.7,3662.3962210450554,1.4608680578560251
1978,Alcachofas,376900.0,307324.22404714715,26800.0,14063.4,69575.77595285285,18.46000953909601
1979,Alcachofas,296360.0,311544.88528458885,25940.0,11424.8,15184.885284588847,5.123797167157797
1980,Alcachofas,288200.0,318355.5861282413,21900.0,13159.8,30155.586128241324,10.46342336163821
1981,Alcachofas,248300.0,265109.3999836085,23900.0,10389.1,16809.399983608513,6.769794596700971
1982,Alcachofas,257000.0,260857.32203576787,22800.0,11271.9,3857.3220357678656,1.5009035158629827
1983,Alcachofas,257900.0,254742.47249851047,23500.0,10974.5,3157.5275014895306,1.2243224123650758
1984,Alcachofas,289057.0,275001.7765168732,25640.0,11273.7,14055.223483126785,4.862440101131191
1985,Alcachofas,268946.0,268621.3590565902,27061.0,9938.5,324.6409434098168,0.12070859704543546
1986,Alcachofas,361000.0,297099.15875610855,26000.0,13884.6,63900.84124389145,17.701064056479627
1987,Alcachofas,338000.0,333128.43674723606,25320.0,13349.1,4871.563252763939,1.4412909031845973
1988,Alcachofas,395700.0,369081.9817244184,28500.0,13884.2,26618.01827558159,6.7268178609000735
1989,Alcachofas,478100.0,422397.8676476658,31800.0,15034.6,55702.132352334214,11.650728373213598
1990,Alcachofas,427900.0,444415.5167463171,31100.0,13758.8,16515.516746317095,3.8596673863793165
1991,Alcachofas,359700.0,415072.66354322527,27200.0,13224.3,55372.663543225266,15.39412386522804
1992,Alcachofas,363700.0,386104.47027455334,25600.0,14207.0,22404.470274553343,6.16015129902484
1993,Alcachofas,334100.0,358272.466315407,23600.0,14156.8,24172.466315407015,7.235099166539065
1994,Alcachofas,283200.0,326649.9297647557,21800.0,12990.8,43449.92976475571,15.342489323713174
1995,Alcachofas,250700.0,274942.6737997903,18400.0,13625.0,24242.673799790326,9.669993538009702
1996,Alcachofas,278400.0,273780.79003442696,19100.0,14575.9,4619.209965573042,1.6591989818868682
1997,Alcachofas,274425.0,279528.83138760604,18472.0,14856.3,5103.831387606042,1.859827416454784
1998,Alcachofas,264600.0,273622.3348033991,18463.0,14331.4,9022.334803399106,3.4098015130004184
1999,Alcachofas,289652.0,291818.3594936239,18817.0,15393.1,2166.359493623895,0.7479180166627177
2000,Alcachofas,290189.0,286062.49348197173,19656.0,14763.4,4126.506518028269,1.4220065261013577
2001,Alcachofas,277377.0,285181.8284279315,18708.0,14826.7,7804.828427931527,2.813797981783467
2002,Alcachofas,289417.0,285448.1967725433,19289.0,15004.3,3968.803227456694,1.3713096423004503
2003,Alcachofas,306484.0,288852.3490052361,19094.0,16051.3,17631.650994763884,5.752878125697878
2004,Alcachofas,300216.0,307717.7836325287,18142.0,16548.1,7501.783632528677,2.49879541147996
2005,Alcachofas,200135.0,251152.21031265633,18792.0,10650.0,51017.21031265633,25.491398462366067
2006,Alcachofas,228219.0,214907.4525347261,18097.0,12610.9,13311.547465273907,5.832795457553449
2007,Alcachofas,226281.0,222483.11614541718,17277.0,13097.2,3797.8838545828185,1.6783927305354045
2008,Alcachofas,203301.0,202369.98477671223,16042.0,12673.0,931.0152232877736,0.45794916074577774
2009,Alcachofas,194099.0,203844.58025826476,15190.0,12778.1,9745.58025826476,5.020932749918732
2010,Alcachofas,166662.0,178325.389464674,14726.0,11317.5,11663.389464673994,6.998229629234015
2011,Alcachofas,182120.0,178589.79652784142,15144.0,12025.9,3530.2034721585806,1.938394175356128
2012,Alcachofas,195342.0,195703.57860521114,15638.0,12491.5,361.57860521113616,0.18510028832055378
2013,Alcachofas,199900.0,184462.09359259804,15400.0,12980.5,15437.906407401955,7.722814611006481
2014,Alcachofas,234091.0,215650.92955026566,17428.0,13431.9,18440.07044973434,7.877308589281237
2015,Alcachofas,204111.0,217223.06753006755,15002.0,13605.6,13112.06753006755,6.423988677762369
2016,Alcachofas,225619.0,202859.60517558368,16045.0,14061.6,22759.39482441632,10.087534659942786
