Año,Producto,Produccion_Real,Produccion_Predicha,Area_Cosechada,Rendimiento,Error_Absoluto,Error_Porcentual
2016,"Ajíes y pimientos, verdes (capsicum y pimenta)",1175635.0,1007972.2850739988,19623.0,59911.1,167662.71492600115,14.261459970654256
2017,"Ajíes y pimientos, verdes (capsicum y pimenta)",1277908.0,1056193.0847011353,20498.0,62343.1,221714.9152988647,17.349833892491848
2018,"Ajíes y pimientos, verdes (capsicum y pimenta)",1275460.0,1129179.6243822596,20580.0,61975.7,146280.37561774044,11.468832861692286
2019,"Ajíes y pimientos, verdes (capsicum y pimenta)",1402380.0,1202346.7668853132,21430.0,65440.0,200033.2331146868,14.263839552381437
2020,"Ajíes y pimientos, verdes (capsicum y pimenta)",1472850.0,1302909.260486961,21750.0,67717.2,169940.7395130389,11.538224497609322
2021,"Ajíes y pimientos, verdes (capsicum y pimenta)",1511560.0,1404523.6386372559,22240.0,67965.8,107036.36136274412,7.081185091081011
2022,"Ajíes y pimientos, verdes (capsicum y pimenta)",1533280.0,1533630.1626462124,22260.0,68880.5,350.16264621238224,0.022837488665630692
2023,"Ajíes y pimientos, verdes (capsicum y pimenta)",1389830.0,1572055.4346933328,21670.0,64136.1,182225.43469333276,13.11134704915945
1963,Albaricoques,109700.0,118711.80787223924,11700.0,9376.1,9011.807872239238,8.214957039415896
1964,Albaricoques,129500.0,118036.24256169217,12900.0,10038.8,11463.757438307832,8.852322346183653
1965,Albaricoques,199500.0,130732.5144468964,15100.0,13211.9,68767.4855531036,34.469917570477996
1966,Albaricoques,157800.0,171055.71781846782,15500.0,10180.6,13255.71781846782,8.400328148585437
1967,Albaricoques,135200.0,168135.23437732237,14200.0,9521.1,32935.23437732237,24.360380456599383
1968,Albaricoques,184500.0,133819.2155340155,16500.0,11181.8,50680.7844659845,27.469259873162333
1969,Albaricoques,100400.0,166680.75526485767,17400.0,5770.1,66280.75526485767,66.01668851081442
1970,Albaricoques,161800.0,112662.05511111928,22500.0,7191.1,49137.944888880724,30.369558027738396
1971,Albaricoques,145800.0,144342.06229581506,20500.0,7112.2,1457.9377041849366,0.9999572731035231
1972,Albaricoques,159100.0,136618.37336991177,22600.0,7039.8,22481.626630088227,14.130500710300584
1973,Albaricoques,131000.0,146879.98081862563,22900.0,5720.5,15879.980818625627,12.12212276230964
1974,Albaricoques,212800.0,133328.83927677604,22800.0,9333.3,79471.16072322396,37.34547026467291
1975,Albaricoques,132400.0,171857.42754013537,23300.0,5682.4,39457.427540135366,29.80168243212641
1976,Albaricoques,216300.0,155553.48158157634,21600.0,10013.9,60746.51841842366,28.08438207046863
1977,Albaricoques,65500.0,171857.42754013537,20200.0,3242.6,106357.42754013537,162.37775196967232
1978,Albaricoques,219500.0,96190.60770367438,20200.0,10866.3,123309.39229632562,56.177399679419416
1979,Albaricoques,154500.0,157191.64875077954,19500.0,7923.1,2691.648750779539,1.7421674762327113
1980,Albaricoques,113800.0,171363.45186891133,19300.0,5896.4,57563.45186891133,50.582998127338605
1981,Albaricoques,173700.0,121549.3930702412,19600.0,8862.2,52150.6069297588,30.0233776221985
1982,Albaricoques,180500.0,160090.2333578141,19900.0,9070.4,20409.76664218589,11.30734994026919
1983,Albaricoques,151100.0,190228.64278325083,21300.0,7093.9,39128.642783250834,25.895858890304986
1984,Albaricoques,208100.0,157283.73086257975,19200.0,10838.5,50816.269137420255,24.419158643642604
1985,Albaricoques,150664.0,170520.61615089583,20000.0,7533.2,19856.616150895832,13.179403275431312
1986,Albaricoques,151000.0,156928.57729483655,20400.0,7402.0,5928.577294836548,3.9262101290308262
1987,Albaricoques,142000.0,136148.33543217217,21400.0,6635.5,5851.664567827829,4.120890540723823
1988,Albaricoques,157400.0,136618.37336991177,21900.0,7187.2,20781.626630088227,13.203066474007768
1989,Albaricoques,165000.0,146374.63789679695,22800.0,7236.8,18625.36210320305,11.288098244365484
1990,Albaricoques,119600.0,161652.39620582797,22800.0,5245.6,42052.39620582797,35.16086639283275
1991,Albaricoques,210900.0,149287.6122042947,23900.0,8824.3,61612.38779570529,29.214029300950823
1992,Albaricoques,198700.0,170364.92679094645,24100.0,8244.8,28335.073209053546,14.260228087092877
1993,Albaricoques,210000.0,195870.81877739378,23900.0,8786.6,14129.181222606217,6.7281815345743885
1994,Albaricoques,200200.0,195826.80219035508,23400.0,8555.6,4373.197809644917,2.1844144903321263
1995,Albaricoques,138700.0,194740.0177195041,22500.0,6164.4,56040.0177195041,40.40376187419186
1996,Albaricoques,197800.0,157283.73086257975,23300.0,8489.3,40516.269137420255,20.48345254672409
1997,Albaricoques,141915.0,171496.56650410543,24474.0,5798.6,29581.56650410543,20.84456646873511
1998,Albaricoques,149800.0,157283.73086257975,25018.0,5987.7,7483.730862579745,4.995814995046559
1999,Albaricoques,148924.0,136567.0989373135,24777.0,6010.6,12356.901062686491,8.297454448367283
2000,Albaricoques,142498.0,136618.37336991177,23487.0,6067.1,5879.626630088227,4.126111685839961
2001,Albaricoques,134767.0,136261.39511152956,20787.0,6483.2,1494.395111529564,1.1088731748347622
2002,Albaricoques,127549.0,132870.11895661234,21061.0,6056.2,5321.118956612336,4.171823343665835
2003,Albaricoques,143840.0,131523.3107987407,20686.0,6953.5,12316.689201259287,8.562770579295945
2004,Albaricoques,121486.0,135950.92443746235,19858.0,6117.7,14464.924437462352,11.906659563622437
2005,Albaricoques,137167.0,131033.37245687605,19249.0,7125.9,6133.627543123948,4.471649553554389
2006,Albaricoques,156872.0,132798.64604634995,18150.0,8643.1,24073.353953650047,15.345857739845254
2007,Albaricoques,89023.0,146374.63789679695,18338.0,4854.6,57351.63789679695,64.42339383844282
2008,Albaricoques,109108.0,93133.75050208112,18834.0,5793.1,15974.249497918878,14.640768319388933
2009,Albaricoques,95221.0,104426.58688518703,19226.0,4952.7,9205.586885187033,9.66760156392711
2010,Albaricoques,78715.0,96937.85388087106,18333.0,4293.6,18222.85388087106,23.150420988211977
2011,Albaricoques,86880.0,89854.18580806164,18729.0,4638.8,2974.1858080616366,3.4233262063324545
2012,Albaricoques,118114.0,78001.68480900287,18542.0,6370.1,40112.315190997135,33.96067798143923
2013,Albaricoques,131800.0,106105.08726178964,20300.0,6492.6,25694.91273821036,19.495381440220307
2014,Albaricoques,136446.0,132042.91601409938,18451.0,7395.0,4403.083985900623,3.2269791609139316
2015,Albaricoques,153667.0,132798.64604634995,18822.0,8164.2,20868.353953650047,13.580244264318328
2016,Albaricoques,139605.0,146362.5052519072,20353.0,6859.2,6757.5052519071905,4.840446439530956
2017,Albaricoques,162872.0,136099.90521860024,21002.0,7755.1,26772.094781399763,16.437506005574782
2018,Albaricoques,176290.0,161082.87602460812,20570.0,8570.2,15207.123975391878,8.626197728397457
2019,Albaricoques,145830.0,175524.54591446518,20240.0,7205.0,29694.545914465183,20.362439768542266
2020,Albaricoques,128700.0,155278.83906496037,19780.0,6506.6,26578.839064960368,20.65177860525281
2021,Albaricoques,114720.0,132158.06740798816,19440.0,5901.2,17438.067407988157,15.200546903755368
2022,Albaricoques,80870.0,118465.36219690133,18430.0,4388.0,37595.36219690133,46.48863879918552
2023,Albaricoques,108450.0,92040.19941334079,18010.0,6021.7,16409.800586659214,15.131213081290193
1963,Alcachofas,125000.0,89993.45173996004,12185.0,10258.5,35006.548260039955,28.005238608031963
1964,Alcachofas,109000.0,114711.71411645893,13062.0,8344.8,5711.714116458927,5.240104693999015
1965,Alcachofas,124000.0,119319.06544092303,14159.0,8757.7,4680.934559076966,3.7749472250620695
1966,Alcachofas,125800.0,130031.37663433953,14134.0,8900.5,4231.3766343395255,3.3635744311125
1967,Alcachofas,129200.0,130992.32455552845,14561.0,8873.0,1792.324555528452,1.3872481079941579
1968,Alcachofas,114700.0,132462.78714397387,13610.0,8427.6,17762.787143973866,15.48630091017774
1969,Alcachofas,101100.0,121236.93772690273,13208.0,7654.5,20136.93772690273,19.91784147072476
1970,Alcachofas,220400.0,112392.74146418493,22375.0,9850.3,108007.25853581507,49.005108228591226
1971,Alcachofas,222200.0,191674.52836975566,24000.0,9258.3,30525.47163024434,13.737836017211674
1972,Alcachofas,253500.0,230610.84133278823,21800.0,11628.4,22889.15866721177,9.029253912115097
1973,Alcachofas,298300.0,252019.74906266853,26100.0,11429.1,46280.25093733147,15.514666757402438
1974,Alcachofas,302600.0,262072.97752985792,26800.0,11291.0,40527.02247014208,13.392935383391302
1975,Alcachofas,226400.0,282197.7218363295,19300.0,11730.6,55797.721836329496,24.645636853502427
1976,Alcachofas,227000.0,251226.9393013612,21500.0,10558.1,24226.939301361213,10.67266048518115
1977,Alcachofas,250700.0,232258.3875853629,24500.0,10232.7,18441.612414637086,7.356048031367007
1978,Alcachofas,376900.0,253820.24568196433,26800.0,14063.4,123079.75431803567,32.655811705501634
1979,Alcachofas,296360.0,295163.11253746715,25940.0,11424.8,1196.8874625328463,0.40386268812688836
1980,Alcachofas,288200.0,327462.6420520369,21900.0,13159.8,39262.642052036885,13.623401128395866
1981,Alcachofas,248300.0,281863.277095821,23900.0,10389.1,33563.27709582099,13.517227988651223
1982,Alcachofas,257000.0,273929.8039240438,22800.0,11271.9,16929.80392404378,6.587472343985906
1983,Alcachofas,257900.0,261481.20674815562,23500.0,10974.5,3581.206748155615,1.3886028492266829
1984,Alcachofas,289057.0,262072.97752985792,25640.0,11273.7,26984.02247014208,9.335190799787613
1985,Alcachofas,268946.0,260581.5791610584,27061.0,9938.5,8364.420838941587,3.1100744532142466
1986,Alcachofas,361000.0,282197.7218363295,26000.0,13884.6,78802.2781636705,21.828885917914267
1987,Alcachofas,338000.0,309435.1527910364,25320.0,13349.1,28564.84720896359,8.451138227504021
1988,Alcachofas,395700.0,350338.15497846605,28500.0,13884.2,45361.845021533954,11.463695987246387
1989,Alcachofas,478100.0,372922.5847617645,31800.0,15034.6,105177.4152382355,21.999041045437252
1990,Alcachofas,427900.0,448048.9658562893,31100.0,13758.8,20148.965856289316,4.708802490369086
1991,Alcachofas,359700.0,453615.0177504797,27200.0,13224.3,93915.01775047969,26.109262649563437
1992,Alcachofas,363700.0,374965.88919413777,25600.0,14207.0,11265.889194137766,3.097577452333727
1993,Alcachofas,334100.0,358312.7328597964,23600.0,14156.8,24212.73285979638,7.247151409696611
1994,Alcachofas,283200.0,350338.15497846605,21800.0,12990.8,67138.15497846605,23.706975627989422
1995,Alcachofas,250700.0,291195.6939304619,18400.0,13625.0,40495.693930461886,16.153049034887072
1996,Alcachofas,278400.0,268221.8369732475,19100.0,14575.9,10178.163026752474,3.6559493630576414
1997,Alcachofas,274425.0,262072.97752985792,18472.0,14856.3,12352.022470142081,4.501055833157359
1998,Alcachofas,264600.0,276317.4741433925,18463.0,14331.4,11717.474143392523,4.428372692136253
1999,Alcachofas,289652.0,276317.4741433925,18817.0,15393.1,13334.525856607477,4.603636728421511
2000,Alcachofas,290189.0,275693.53886762104,19656.0,14763.4,14495.461132378958,4.995179394249595
2001,Alcachofas,277377.0,281460.3534400768,18708.0,14826.7,4083.3534400768112,1.4721312293653805
2002,Alcachofas,289417.0,281863.277095821,19289.0,15004.3,7553.722904179012,2.6099789936938786
2003,Alcachofas,306484.0,275366.80248869205,19094.0,16051.3,31117.197511307953,10.152959864563224
2004,Alcachofas,300216.0,281203.5090887322,18142.0,16548.1,19012.490911267814,6.332937255598574
2005,Alcachofas,200135.0,281226.81923318584,18792.0,10650.0,81091.81923318584,40.51855958887043
2006,Alcachofas,228219.0,220978.81457091842,18097.0,12610.9,7240.185429081583,3.1724726815390403
2007,Alcachofas,226281.0,222682.11471888746,17277.0,13097.2,3598.88528111254,1.5904496096059941
2008,Alcachofas,203301.0,230123.04152047713,16042.0,12673.0,26822.041520477127,13.193265906452565
2009,Alcachofas,194099.0,204756.44604652972,15190.0,12778.1,10657.446046529716,5.49072692107106
